modelo;marca;tipo;ano;km;potência do motor;combustível;câmbio;direção;cor;portas;placa;valor
WRANGLER;JEEP;SUV;2021;46056;3.6;Gasolina;Automático;Elétrica;Preto;4;QWG7821;366201.55
VIRTUS COMFORTINE;VOLKSWAGEN;Sedã;2022;28936;1.6;Flex;Manual;Hidráulica;Laranja;4;XKT5983;76913.16
GLA;MERCEDES;SUV;2023;12780;2.0;Gasolina;Automático;Elétrica;Verde;4;CDG8716;295666.21
FOX CONNECT;VOLKSWAGEN;Hatch;2016;127981;1.6;Flex;Manual;Elétrica;Azul;4;PMD0656;24136.06
CRUZE;CHEVROLET;Sedã;2021;34660;1.4;Flex;Automático;Elétrica;Branco;4;ZIZ8918;91217.72
TIGUAN;VOLKSWAGEN;SUV;2020;69105;2.0;Flex;Automático;Elétrica;Branco;4;FUO1771;135565.65
CERATO;KIA;Sedã;2019;91992;2.0;Flex;Automático;Elétrica;Branco;4;SYX7500;69008.71
DUSTER;RENAULT;SUV;2018;117879;2.0;Flex;Manual;Elétrica;Verde;4;EVH2753;44541.12
MOBI;FIAT;Hatch;2018;60620;1.0;Flex;Manual;Elétrica;Bege;4;FZF0517;26938.44
C3;CITROEN;Hatch;2023;7687;1.6;Flex;Manual;Hidráulica;Branco;4;KJO4166;58743.29
AMAROK;VOLKSWAGEN;Pick-up;2023;11559;3.0;Diesel;Automático;Elétrica;Verde;4;CCF1252;239083.49
HILUX;TOYOTA;Pick-up;2015;119622;2.7;Diesel;Manual;Elétrica;Azul;4;ACC5497;69597.33
AMAROK;VOLKSWAGEN;Pick-up;2017;72375;2.0;Diesel;Automático;Elétrica;Laranja;4;VWW3641;117329.36
GOL;VOLKSWAGEN;Van;2013;154867;1.0;Diesel;Automático;Elétrica;Laranja;4;JIC4486;16802.87
SPORTAGE;KIA;SUV;2023;13515;1.6;Flex;Manual;Elétrica;Prata;4;XMO4676;128881.01
STRADA ENDURANCE;FIAT;Pick-up;2020;43434;1.3;Flex;Manual;Hidráulica;Branco;2;RAW5772;51245.16
HR-V;HONDA;SUV;null;46350;1.5;Flex;Manual;Elétrica;Azul;4;VOZ0618;95563.42
TRACKER;CHEVROLET;SUV;2014;111545;1.2;Flex;Automático;Elétrica;Vermelho;4;FQK2484;39123.56
KICKS;NISSAN;SUV;2018;96117;1.6;Flex;Manual;Elétrica;Bege;4;OAC6635;54197.00
FRONTIER;NISSAN;Pick-up;2018;119891;2.3;Diesel;Manual;Elétrica;Azul;4;MRS1723;96197.62
HILUX;TOYOTA;Pick-up;2021;38607;2.8;Flex;Manual;Elétrica;Laranja;4;CPE9347;171076.65
ARGO;FIAT;Hatch;2019;88505;1.0;Flex;Automático;Elétrica;Marrom;4;ZAT5459;40027.80
S10;CHEVROLET;Pick-up;2022;40135;2.5;Flex;Manual;Elétrica;Marrom;4;NKZ9729;147030.91
KICKS;NISSAN;SUV;2015;120331;1.6;Flex;Automático;Elétrica;Verde;4;FSR9179;36633.10
SERIE 3;BMW;Sedã;2023;21188;2.0;Gasolina;Automático;Elétrica;Marrom;4;RXN8401;353084.43
POLO COMFORTINE;VOLKSWAGEN;Hatch;2023;11504;1.0;Flex;Automático;Hidráulica;Vermelho;4;VRH7081;62835.56
X3;BMW;SUV;2016;132617;2.0;Gasolina;Automático;Elétrica;Bege;4;YZI5026;171894.74
VERSA;NISSAN;Sedã;2016;99468;1.6;Flex;NA;Elétrica;Laranja;4;EEN3451;30165.53
HB20S;HYUNDAI;Hatch;2013;172914;1.6;Flex;Manual;Hidráulica;Prata;4;BYQ6453;20444.47
FIT;HONDA;Hatch;2021;60489;1.5;Flex;Manual;Elétrica;Bege;4;KJW6329;46960.77
L200 TRITON;MITSUBISHI;Pick-up;2021;37635;2.4;Diesel;Automático;Elétrica;Cinza;4;RIX9352;169113.99
WRANGLER;JEEP;SUV;2021;49163;3.6;Gasolina;Automático;Elétrica;Cinza;4;CCZ7562;359214.44
LOGAN;RENAULT;Hatch;2023;7908;1.6;Flex;Manual;Hidráulica;Preto;4;LIC0755;52640.07
CRETA;HYUNDAI;SUV;2019;52761;2.0;Flex;Automático;Elétrica;Azul;4;RNQ6757;73158.72
2008;PEUGEOT;SUV;2014;163963;1.6;Flex;Automático;Elétrica;Laranja;4;VAE2778;33817.05
PULSE;FIAT;SUV;2017;74957;1.3;Flex;Manual;Elétrica;Branco;4;PNY3793;43257.50
3008;PEUGEOT;SUV;2015;104864;1.6;Flex;Automático;Elétrica;Cinza;4;ROB7956;62465.63
SAVEIRO CROSS;VOLKSWAGEN;Pick-up;2017;83542;1.6;Flex;Manual;Hidráulica;Azul;2;CQX3463;31964.52
A3;AUDI;Sedã;2022;29295;2.0;Flex;Automático;Elétrica;Branco;4;USQ2363;205507.59
KICKS;NISSAN;SUV;2018;67655;1.6;Flex;Manual;Elétrica;Marrom;4;WDO2800;56328.52
2008;PEUGEOT;SUV;2023;18173;1.6;Flex;Automático;Elétrica;Verde;4;XOR1385;113490.52
MOBI;FIAT;Hatch;2020;54291;1.0;Flex;Manual;Elétrica;Cinza;4;DEO5817;33557.01
GOL;VOLKSWAGEN;Hatch;2016;106373;1.6;Flex;Manual;Elétrica;Azul;4;RNU3980;22851.31
ARGO;FIAT;Hatch;2021;49588;1.8;Flex;Automático;Elétrica;Bege;4;PXC2924;55078.16
CR-V;HONDA;SUV;2020;51335;2.0;Flex;Automático;Elétrica;Prata;4;NHD1686;151450.29
CITY;HONDA;Sedã;2014;128142;1.5;Flex;Automático;Hidráulica;Marrom;4;ABO1605;29142.04
CRETA;HYUNDAI;SUV;2015;161168;2.0;Flex;Automático;Elétrica;Cinza;4;ZWE8678;35984.17
3008;PEUGEOT;SUV;2017;114687;1.6;Flex;Automático;Elétrica;Cinza;4;DAN9686;81180.82
TERRITORY;FORD;SUV;2021;51524;1.5;Flex;Automático;Elétrica;Marrom;4;XUQ5305;105051.89
ECLIPSE CROSS;MITSUBISHI;SUV;2019;87894;1.5;Flex;Automático;Elétrica;Vermelho;4;XCP5207;103771.66
CLASSE A;MERCEDES;Hatch;2014;156096;1.3;Gasolina;Automático;Elétrica;Bege;4;EQG8432;82742.81
SANDERO;RENAULT;Hatch;2019;79584;1.6;Flex;Automático;Elétrica;Vermelho;4;IST8674;37819.79
PRISMA;CHEVROLET;Sedã;2014;158836;1.0;Flex;Automático;Hidráulica;Prata;4;UVM6023;19926.52
C4 LOUNGE;CITROEN;Passeio;2019;49179;2.0;Flex;Manual;Hidráulica;Laranja;4;WYN1756;44479.68
TERRITORY;FORD;SUV;2018;100049;1.5;Flex;Automático;Elétrica;Vermelho;4;RKF0795;75858.93
X3;BMW;SUV;2022;4615193;2.0;Gasolina;Automático;Elétrica;Marrom;4;YOG4102;391476.80
3008;PEUGEOT;SUV;2017;111472;2.0;Flex;Automático;Elétrica;Cinza;4;RXW4237;84622.50
CAPTUR;RENAULT;Hatch;2018;84759;2.0;Flex;Automático;Elétrica;Cinza;4;KTI5132;50445.64
SPIN;CHEVROLET;Passeio;2023;12735;1.8;Flex;Manual;Hidráulica;Cinza;4;FVV3710;86445.09
208;PEUGEOT;Hatch;2022;33400;1.2;Flex;Automático;Elétrica;Marrom;4;XWO2175;58816.17
Q3;AUDI;SUV;2015;142651;1.4;Flex;Automático;Elétrica;Verde;4;WUL1530;92693.03
C3;CITROEN;Hatch;2022;37280;1.2;Flex;Automático;Elétrica;Prata;4;GMP3427;53102.24
XC-60;VOLVO;SUV;2017;99817;2.4;Gasolina;Automático;Elétrica;Preto;4;OWF8740;49501.11
MOBI;FIAT;Hatch;2023;15084;1.0;Flex;Manual;Elétrica;Verde;4;KRB8464;42972.83
COMPASS;JEEP;SUV;2018;99433;2.0;Diesel;Manual;Elétrica;Preto;4;FOQ1736;81522.47
KICKS;NISSAN;SUV;2014;157181;1.6;Flex;Automático;Elétrica;Prata;4;QOW0123;32805.05
TUCSON;HYUNDAI;SUV;2022;39447;2.0;Flex;Automático;Elétrica;Marrom;4;KEA7697;136385.15
TRACKER;CHEVROLET;SUV;2019;49836;1.0;Flex;Automático;Elétrica;Verde;4;UNZ1609;70379.27
CAPTUR;RENAULT;Hatch;2016;97828;2.0;Flex;Automático;Elétrica;Verde;4;AJX8489;38532.45
MOBI;FIAT;Hatch;2021;57514;1.0;Flex;Manual;Elétrica;Azul;4;FCI4105;35648.50
MOBI;FIAT;Hatch;2018;84597;1.0;Flex;Manual;Elétrica;Laranja;4;TUP7518;24788.36
HB20;HYUNDAI;Hatch;2015;151177;1.6;Flex;Manual;Elétrica;Preto;4;NUP6265;18747.80
CRUZE;CHEVROLET;Sedã;2014;173638;1.4;Flex;Automático;Elétrica;Laranja;4;SMI1909;33943.15
STRADA ENDURANCE;FIAT;Pick-up;2020;70902;1.4;Flex;Manual;Hidráulica;Branco;2;IIU9473;48433.31
PULSE;FIAT;SUV;2013;143725;1.3;Flex;Manual;Elétrica;Prata;4;VVD7274;28247.65
TERRITORY;FORD;SUV;2016;121197;1.5;Flex;Automático;Elétrica;Bege;4;EST5142;54975.27
POLO COMFORTINE;VOLKSWAGEN;Hatch;2023;7988;1.0;Flex;Manual;Elétrica;Azul;4;UPK2956;59175.86
ONIX;CHEVROLET;Hatch;2018;89247;1.0;Flex;Manual;Elétrica;Preto;4;BQS7129;36011.57
CR-V;HONDA;SUV;2020;52074;1.5;Flex;Automático;Elétrica;Prata;4;MLH6113;N/A
YARIS;TOYOTA;Hatch;2022;32501;1.3;Flex;Manual;?;Vermelho;4;JAQ3108;69072.07
MASTER;RENAULT;Van;2018;74788;2.3;Gasoolina;Manual;Hidráulica;Verde;2;IQC5081;71645.05
KWID;RENAULT;Hatch;2014;166686;1.0;Flex;Manual;Elétrica;Marrom;4;NSG3609;13753.39
OUTLANDER;MITSUBISHI;SUV;2014;108905;2.4;Flex;Automático;Elétrica;Azul;4;NTV0251;73572.29
C4 LOUNGE;CITROEN;Passeio;2016;156432;1.6;Flex;Manual;Hidráulica;Preto;4;RSL1755;24491.60
GLA;MERCEDES;SUV;2022;35564;2.0;Gasolina;Automático;Elétrica;Azul;4;VIG5357;264545.69
KICKS;NISSAN;SUV;2020;44548;1.6;Flex;Manual;Elétrica;Marrom;4;DXA9237;78410.15
YARIS;TOYOTA;Hatch;2021;34938;1.3;Flex;Manual;Elétrica;Azul;4;GXG2355;60164.14
T-CROSS;VOLKSWAGEN;SUV;2018;85138;1.4;Flex;Automático;Hidráulica;Marrom;4;TOC0738;58570.83
TORO FREEDOM;FIAT;Pick-up;2016;85623;1.8;Diesel;Manual;Elétrica;Verde;4;ODN2073;41024.07
Q3;AUDI;SUV;2021;34440;1.4;Gasolina;Automático;Elétrica;Bege;4;IMT5234;225705.02
MOBI;FIAT;Hatch;2020;73390;1.0;Flex;Manual;Elétrica;Verde;4;GGL6514;30540.97
CRUZE;CHEVROLET;Sedã;2018;100859;1.4;Flex;Automático;Elétrica;Azul;4;LYG6170;64097.45
HB20;HYUNDAI;Hatch;2022;32371;1.0;Flex;Manual;Elétrica;Preto;4;MIT2575;49848.80
PULSE;FIAT;SUV;2023;10637;1.0;Flex;Manual;Elétrica;Prata;4;FSH4906;83929.53
COMPASS;JEEP;SUV;2014;179941;1.3;Diesel;Automático;Elétrica;Bege;4;XMP0195;45136.44
GOL;VOLKSWAGEN;Hatch;2016;83089;1.6;Flex;Automático;Elétrica;Prata;4;RJH9920;24224.85
C4 LOUNGE;CITROEN;Passeio;2013;131166;2.0;Flex;Manual;Hidráulica;Bege;4;SNR8645;21805.80
RAV4;TOYOTA;SUV;2022;42907;2.5;Gasolina;Automático;Elétrica;Prata;4;RFD6894;221625.11
PULSE;FIAT;Pick-up;2023;12587;1.0;Flex;Manual;Elétrica;Prata;4;STW4449;85539.96
YARIS;TOYOTA;Hatch;2015;134270;1.3;Flex;Manual;Elétrica;Branco;4;OGG6364;26014.53
L200 TRITON;MITSUBISHI;sedã;2023;9936;2.4;Diesel;Automático;Elétrica;Laranja;4;FAT0247;208143.21
SANDERO;RENAULT;Hatch;2014;142435;1.0;Flex;Automático;Elétrica;Laranja;4;KBT3367;18459.55
CLASSE C;MERCEDES;Sedã;2023;17523;1.5;Gasolina;Automático;Elétrica;Branco;4;NZB3791;314792.88
SW4;TOYOTA;SUV;2017;79721;2.8;Flex;Automático;Elétrica;Marrom;4;XMQ0515;152239.22
SERIE 3;BMW;Sedã;2015;118803;2.0;Gasolina;Automático;Elétrica;Branco;4;PSF4269;134336.92
TORO FREEDOM;FIAT;Pick-up;2014;166303;1.8;Diesel;Automático;Elétrica;Verde;4;PEO0138;31189.90
PRISMA;CHEVROLET;Sedã;2015;155530;1.0;Flex;Automático;Elétrica;Vermelho;4;QDD2624;21347.33
SERIE 3;BMW;Sedã;2013;186148;2.0;Gasolina;Automático;Elétrica;Laranja;4;CPG5658;102214.02
PULSE;FIAT;SUV;2013;218613;1.3;Flex;Manual;Elétrica;Marrom;4;ICC9126;23215.71
Q3;AUDI;SUV;2021;44998;1.4;Flex;Automático;Elétrica;Preto;4;JJB4521;221196.78
YARIS;TOYOTA;Hatch;2018;119832;1.5;Flex;Manual;Elétrica;Preto;4;ZMR9926;39372.96
CLASSE C;MERCEDES;Sedã;2022;30878;2.0;Gasolina;Automático;Elétrica;Laranja;4;GHF1477;289905.53
SPORTAGE;KIA;SUV;2019;66094;1.6;Gasolina;Automático;Elétrica;Branco;4;GBH5713;84503.87
A3;AUDI;Sedã;2022;38472;1.4;Gasolina;Automático;Elétrica;Azul;4;UQM6853;198930.97
XC-40;VOLVO;SUV;2013;170567;2.0;Gasolina;Automático;Elétrica;Marrom;4;BDV3351;83607.42
SPIN;CHEVROLET;Passeio;2022;29982;1.8;NA;Automático;Hidráulica;Vermelho;4;MGL9231;80512.76
KWID;RENAULT;Hatch;2014;158641;1.0;fleX;Automático;Elétrica;Cinza;4;TNU1889;15438.02
STRADA ENDURANCE;FIAT;Pick-up;2016;116481;1.4;Gasolina;Manual;Hidráulica;Branco;2;RPC4056;27089.26
Q3;AUDI;SUV;2017;105444;1.4;Flex;Automático;Elétrica;Vermelho;4;ILD1206;130211.42
SANDERO;RENAULT;Hatch;2021;57226;1.6;Flex;Automático;Hidráulica;Vermelho;4;EIX5009;44154.08
C4 LOUNGE;CITROEN;Passeio;2013;219125;1.6;Flex;Automático;Hidráulica;Marrom;4;QIV7659;18368.63
SENTRA;NISSAN;Sedã;2022;32795;2.0;Flex;Automático;Hidráulica;Laranja;4;MYD8231;96876.28
CITY;HONDA;Sedã;2018;71852;1.5;Flex;Automático;Hidráulica;Laranja;4;MVH3554;53535.59
ARGO;FIAT;Hatch;2018;119823;1.8;Flex;Automático;Elétrica;Bege;4;GGE4026;34767.30
STINGER;KIA;Sedã;2022;32817;3.3;Gasolina;Automático;Elétrica;Marrom;4;PMO8190;274282.86
C3;CITROEN;Pick-Up;2018;112093;1.6;Flex;Manual;Hidráulica;Prata;4;TRL2642;33062.87
SW4;TOYOTA;SUV;2022;23628;2.8;Diesel;Automático;Elétrica;Marrom;4;KDH3507;268831.31
RENEGADE SPORT;JEEP;SUV;2014;164802;2.0;Flex;Manual;Elétrica;Marrom;4;SKL2115;23847.29
COMPASS;JEEP;SUV;2019;51132;1.3;Diesel;Manual;Elétrica;Branco;4;DXR9118;97802.55
CERATO;KIA;Sedã;2022;30340;1.6;Flex;Automático;Elétrica;Bege;4;EPP8254;95623.78
COMPASS;JEEP;SUV;2013;193090;1.3;Diesel;Automático;Elétrica;Marrom;4;DTZ9740;44378.35
FOX CONNECT;VOLKSWAGEN;Hatch;2016;145296;1.6;Flex;Manual;Elétrica;Azul;4;MNM7497;22767.98
TERRITORY;FORD;SUV;2022;29925;1.5;Flex;Automático;Elétrica;Marrom;4;BZV6205;125810.25
YARIS;TOYOTA;Hatch;2017;87682;1.3;Flex;Automático;Elétrica;Branco;4;EPD4827;39625.63
CLASSE C;MERCEDES;Sedã;2013;185692;2.0;Gasolina;Automático;Elétrica;Laranja;4;GLQ2736;100486.58
CRONOS;FIAT;Sedã;2013;199557;1.3;Flex;Automático;Elétrica;Vermelho;4;GRK2542;20750.88
C3;CITROEN;Hatch;2023;14954;1.6;Flex;Manual;Elétrica;Bege;4;HUG5462;60179.64
CRUZE;CHEVROLET;Sedã;2021;28534;1.4;Flex;Automático;Elétrica;Branco;4;KNR3720;96443.04
VIRTUS COMFORTINE;VOLKSWAGEN;Sedã;2022;25415;1.0;Flex;Manual;Hidráulica;Marrom;4;RXO9862;72084.60
T-CROSS;VOLKSWAGEN;SUV;2023;8865;1.4;Flex;Automático;Elétrica;Vermelho;4;HBK9281;100222.26
KWID;RENAULT;Hatch;2022;39779;1.0;Flex;Automático;Elétrica;Prata;4;FQX7105;41435.56
KICKS;NISSAN;SUV;2013;155498;1.6;Flex;Manual;Elétrica;Bege;4;SXO5944;33140.58
SAVEIRO CROSS;VOLKSWAGEN;Pick-up;2021;61649;1.6;Flex;Manual;Hidráulica;Preto;2;YJR4690;49089.91
HR-V;HONDA;SUV;2014;107734;1.8;Flex;Manual;Elétrica;Verde;4;RHK1648;41186.15
CRUZE;CHEVROLET;Sedã;2015;143353;1.4;Flex;Automático;Elétrica;Laranja;4;UQM9890;38118.60
HR-V;HONDA;SUV;2013;141332;1.8;Flex;Manual;Elétrica;Verde;4;GBT4096;37451.17
STRADA ENDURANCE;FIAT;Pick-up;2013;145439;1.4;Flex;Manual;Hidráulica;Laranja;2;BVC5602;21191.05
XC-60;VOLVO;SUV;2018;116143;2.0;Gasolina;Automático;Elétrica;Branco;4;IDD4654;54587.43
GOL;VOLKSWAGEN;Hatch;2015;-;1.0;Flex;Manual;Hidráulica;Laranja;4;AYS5267;18904.92
STRADA ENDURANCE;FIAT;Pick-up;2016;98488;1.4;Gasolina;Manual;Hidráulica;Cinza;2;PSP0834;28864.41
CRUZE;CHEVROLET;Sedã;2014;141149;1.4;Flex;Automático;Elétrica;Cinza;4;FUR9416;35818.37
COMPASS;JEEP;SUV;2017;117677;1.3;Diesel;Automático;Elétrica;Marrom;4;CBN1050;67948.92
VERSA;NISSAN;Sedã;2022;23951;1.6;Flex;Manual;Elétrica;Cinza;4;FGK1805;60092.20
STINGER;KIA;Sedã;2015;112605;2.0;Gasolina;Automático;Elétrica;Azul;4;SQZ2160;101958.24
SENTRA;NISSAN;Sedã;2020;77124;2.0;Flex;Automático;Hidráulica;Vermelho;4;UQP1980;75181.39
OUTLANDER;MITSUBISHI;SUV;2016;111388;2.4;Gasolina;Automático;Elétrica;Bege;4;IPX5150;94573.27
GOL;VOLKSWAGEN;Hatch;2020;72762;1.0;Flex;Automático;Elétrica;Preto;4;GOA7912;37844.00
FOX CONNECT;VOLKSWAGEN;Hatch;2013;210581;1.6;Flex;Manual;Elétrica;Marrom;4;ZMD7186;16747.16
KA;FORD;Hatch;2023;16397;1.0;Flex;Automático;Hidráulica;Vermelho;4;SPO2663;61677.40
3008;PEUGEOT;SUV;2023;13293;2.0;Flex;Automático;Elétrica;Azul;4;JEO0729;176497.46
CRONOS;FIAT;Sedã;2023;17630;1.8;Flex;Manual;Elétrica;Vermellho;4;RHB3451;70875.14
GLA;MERCEDES;SUV;2017;76323;2.0;Gasolina;Automático;Elétrica;Laranja;4;KEY0111;149862.56
SANDERO;RENAULT;Hatch;2021;48923;1.0;Flex;Automático;Hidráulica;Laranja;4;LQH0829;45475.78
XC-40;VOLVO;SUV;2022;34257;2.0;Gasolina;Automático;Elétrica;Laranja;4;DUE2497;230217.41
RENEGADE SPORT;JEEP;SUV;2017;87625;2.0;Flex;Manual;Elétrica;Prata;4;EDZ5432;38149.82
FIT;HONDA;Hatch;2018;86630;1.5;Flex;Automático;Elétrica;Verde;4;XKM1430;35873.99
2008;PEUGEOT;SUV;2018;104007;1.6;Flex;Automático;Elétrica;Marrom;4;RTX1534;62456.45
KICKS;NISSAN;SUV;2018;110389;1.6;Flex;Manual;Elétrica;Marrom;4;UTF0869;56734.27
C5 AIRCROSS;CITROEN;SUV;2016;101390;1.6;Flex;Automático;Elétrica;Bege;4;JJH3980;62212.25
VERSA;NISSAN;Sedã;2019;66050;1.6;Flex;Manual;Elétrica;Bege;4;PDH9539;45454.07
C3;CITROEN;Hatch;2014;193631;1.2;Flex;Automático;Elétrica;Prata;4;STD1350;18062.36
Q5;AUDI;SUV;2017;86964;2.0;Gasolina;Automático;Elétrica;Branco;4;HQQ1621;201756.84
HB20;HYUNDAI;Hatch;2013;179717;1.0;Flex;Automático;Hidráulica;Marrom;4;MLG6983;17676.90
RANGER;FORD;Pick-up;2017;86388;2.2;Diesel;Manual;Elétrica;Laranja;4;EHK9325;76725.27
3008;PEUGEOT;SUV;2016;118903;1.6;Flex;Automático;Elétrica;Azul;4;RRC5805;72270.46
OUTLANDER;MITSUBISHI;SUV;2019;89857;2.4;Flex;Automático;Elétrica;Prata;4;VUO6987;135526.22
CRONOS;FIAT;Sedã;2019;89985;1.8;Flex;Manual;Hidráulica;Branco;4;IJV8573;44481.83
FUSION;FORD;Sedã;2014;118968;2.0;Flex;Automático;Elétrica;Vermelho;4;DCR7077;41127.85
ARGO;FIAT;Hatch;2013;113884;1.8;Flex;Automático;Elétrica;Vermelho;4;HAC1652;23654.97
FUSION;FORD;Sedã;2014;180982;2.0;Flex;Automático;Elétrica;Prata;4;NBV7579;35971.63
GLA;MERCEDES;SUV;2013;145566;1.3;Gasolina;Automático;Elétrica;Marrom;4;RCV9454;95380.98
FIT;HONDA;Hatch;2014;151358;1.5;Flex;manual;Elétrica;Azul;4;SCM3476;19607.02
DUSTER;RENAULT;SUV;2021;54399;2.0;Flex;Automático;Hidráulica;Preto;4;EZM1460;65313.80
XC-60;VOLVO;SUV;2022;29377;2.0;Gasolina;Automático;Elétrica;Cinza;4;PZD8727;89635.03
TUCSON;HYUNDAI;SUV;2023;17948;2.0;Flex;Automático;Elétrica;Laranja;4;DLD4290;162968.39
SAVEIRO CROSS;VOLKSWAGEN;Pick-up;2020;56418;1.6;Flex;Manual;Hidráulica;Prata;2;TRN4424;45453.65
SERIE 3;BMW;Sedã;2018;104397;2.0;Gasolina;Automático;Elétrica;Bege;4;WLA1678;191231.15
STINGER;KIA;Sedã;2015;166406;3.3;Gasolina;Automático;Elétrica;Marrom;4;ROM8534;107212.94
RENEGADE SPORT;JEEP;SUV;2017;112736;2.0;Flex;Manual;Elétrica;Prata;4;VPT6349;35123.64
VIRTUS COMFORTINE;VOLKSWAGEN;Sedã;2023;7464;1.0;Flex;Manual;Elétrica;Marrom;4;WCE5064;80400.97
SPORTAGE;KIA;SUV;2017;136802;1.6;Gasolina;Manual;Elétrica;Bege;4;ICM6248;57420.22
TRACKER;CHEVROLET;SUV;2022;26247;1.2;Flex;Automático;Elétrica;Laranja;4;FGH5869;99523.95
Q5;AUDI;SUV;2014;135050;2.0;Gasolina;Automático;Elétrica;Bege;4;UQH8452;126914.83
3008;PEUGEOT;SUV;2020;70013;1.6;Flex;Automático;Elétrica;Cinza;4;YNP7456;125320.55
COMPASS;JEEP;SUV;2020;67104;1.3;Flex;Manual;Elétrica;Bege;4;WXQ8221;102190.67
MASTER;RENAULT;Van;2019;70202;2.3;Diesel;Manual;Hidráulica;Branco;2;MOL6011;75267.15
YARIS;TOYOTA;Sedã;2023;11518;0.7;Diesel;Automático;Elétrica;Branco;4;PWX4360;82296.16
MOBI;FIAT;Hatch;2016;116027;1.0;Flex;Manual;Elétrica;Preto;4;DUI5372;18220.17
PULSE;FIAT;SUV;2014;146318;1.0;?;Automático;Elétrica;Bege;4;BNS1542;27496.03
PULSE;FIAT;SUV;2018;59315;1.3;Flex;Automático;Elétrica;Marrom;4;RUG5393;54553.09
TORO FREEDOM;FIAT;Pick-up;2021;42487;1.8;Diesel;Automático;Elétrica;Bege;4;CVG2896;82086.40
XC-40;VOLVO;SUV;2013;171881;2.0;Gasolina;Automático;Elétrica;Bege;4;WVV6536;85046.41
CIVIC;HONDA;Sedã;2020;43966;2.0;Flex;Manual;Hidráulica;Laranja;4;KQI0159;76209.94
STRADA ENDURANCE;FIAT;Pick-up;2022;26382;1.3;Gasolina;Manual;Hidráulica;Prata;2;RVU1418;62127.98
Q3;AUDI;SUV;2016;105273;1.4;Gasolina;Automático;Elétrica;Laranja;4;SEK4203;119686.36
TORO FREEDOM;FIAT;Pick-up;2013;144729;2.4;Diesel;Automático;Elétrica;Cinza;4;YVG7342;32188.90
COROLLA;TOYOTA;Sedã;2023;10225;1.8;Flex;Automático;Elétrica;Prata;4;ZGL2560;86929.34
CIVIC;HONDA;Sedã;2019;67186;2.0;Flex;Automático;Elétrica;Marrom;4;CBI2999;70700.96
GOL;VOLKSWAGEN;Hatch;2013;137993;1.6;FLex;Automático;Elétrica;Azul;4;BEE4340;18748.76
STINGER;KIA;Sedã;2015;163214;3.3;Gasolina;Automático;Elétrica;Prata;4;TYH8672;101268.86
TRACKER;CHEVROLET;Van;2018;70504;0.9;Flex;Automático;Elétrica;Cinza;4;FAG7499;59868.77
RENEGADE SPORT;JEEP;SUV;2021;-;2.0;Flex;Automático;Elétrica;Prata;4;CWE1528;64604.66
Q5;AUDI;SUV;2013;127379;2.0;Gasolina;Automático;Elétrica;Laranja;4;ARR3598;125904.56
TIGUAN;VOLKSWAGEN;SUV;2020;45295;2.0;Flex;Automático;Elétrica;Azul;4;ITT9520;144992.18
CIVIC;HONDA;Sedã;2013;153896;2.0;Flex;Automático;Hidráulica;Bege;4;GUK0234;33631.51
ONIX;CHEVROLET;Hatch;2014;122392;1.4;Flex;Automático;Elétrica;Marrom;4;RVN4845;22982.84
CERATO;KIA;Sedã;2018;111059;1.6;Flex;Automático;Elétrica;Branco;4;ZRQ7956;54420.16
SENTRA;NISSAN;Sedã;2019;73678;2.0;Flex;Automático;Hidráulica;Prata;4;NHB0014;63971.76
A3;AUDI;Sedã;2017;121022;2.0;Flex;Automático;Elétrica;Preto;4;UVB4737;109928.51
KICKS;NISSAN;SUV;2022;27458;1.6;Flex;Manual;Elétrica;Prata;4;GRL0306;90771.55
XC-60;VOLVO;SUV;2023;8484;2.4;Flex;Automático;Elétrica;Vermelho;4;DEV6104;98546.72
MASTER;RENAULT;Van;2019;90737;2.3;Diesel;Manual;Hidráulica;Prata;2;AED7948;74601.07
KWID;RENAULT;Hatch;2017;121328;1.0;Flex;Automático;Elétrica;Preto;4;WTP5244;22742.56
OUTLANDER;MITSUBISHI;SUV;2016;87708;2.0;Flex;Automático;Elétrica;Verde;4;XKM4936;87738.59
COROLLA;TOYOTA;Sedã;2016;113420;2.0;Flex;Automático;Hidráulica;Verde;4;XIP8612;37867.75
SPORTAGE;KIA;SUV;2023;14323;2.0;Gasolina;Manual;Elétrica;Vermelho;4;DFP1493;124264.80
POLO COMFORTINE;VOLKSWAGEN;Hatch;2013;196251;0.5;Gasolina;Automático;Hidráulica;Prata;4;UIC2549;18725.16
GOL;VOLKSWAGEN;Hatch;2021;49284;1.6;Flex;Manual;Hidráulica;Laranja;4;ZUP8155;40986.65
TORO FREEDOM;FIAT;Pick-up;2016;141946;2.4;Flex;Automático;Elétrica;Verde;4;EJV1297;38042.34
L200 TRITON;MITSUBISHI;Pick-up;2018;101702;2.4;Diesel;Manual;Elétrica;Azul;4;QGT5714;107466.90
FRONTIER;NISSAN;Pick-up;2021;51568;2.3;Diesel;Automático;Elétrica;Branco;4;CIZ1076;150666.94
Q3;AUDI;Pick-up;2013;167147;1.0;Diesel;Automático;Elétrica;Azul;4;VXP1468;87725.60
VERSA;NISSAN;Sedã;2018;113310;1.6;Flex;Automático;Hidráulica;Branco;4;KSW5525;38018.73
HR-V;HONDA;SUV;2023;16905;1.5;Flex;Manual;Elétrica;Cinza;4;ZCB3630;114945.37
